emp_no,salary,from_date,to_date
100014,56845,1998-03-23,1999-03-23
100014,56433,1999-03-23,2000-01-30
100015,40000,1991-08-10,1992-08-09
100015,42992,1992-08-09,1993-08-09
100015,46092,1993-08-09,1994-08-09
100015,47953,1994-08-09,1995-08-09
100015,51913,1995-08-09,1996-08-08
100015,55557,1996-08-08,1997-08-08
100015,59490,1997-08-08,1998-08-08
100015,59847,1998-08-08,1999-08-08
100015,62017,1999-08-08,2000-08-07
100015,65463,2000-08-07,2001-08-07
100015,66353,2001-08-07,9999-01-01
100016,72888,1988-06-25,1989-06-25
100016,75760,1989-06-25,1990-06-25
100016,79094,1990-06-25,1991-06-25
100016,81314,1991-06-25,1992-06-24
100016,82905,1992-06-24,1993-06-24
100016,87029,1993-06-24,1994-06-24
100016,88682,1994-06-24,1995-06-24
100016,91079,1995-06-24,1996-06-23
100016,94344,1996-06-23,1997-06-23
100016,95201,1997-06-23,1998-06-23
100016,97319,1998-06-23,1999-06-23
100016,99614,1999-06-23,2000-06-22
100016,103962,2000-06-22,2001-06-22
100016,107870,2001-06-22,2002-06-22
100016,107886,2002-06-22,9999-01-01
100017,45370,1991-06-23,1992-06-22
100017,45378,1992-06-22,1993-06-22
100017,46399,1993-06-22,1994-06-22
100017,46441,1994-06-22,1995-06-22
100017,50832,1995-06-22,1995-09-10
100018,57030,1992-10-12,1993-10-12
100018,57816,1993-10-12,1994-10-12
100018,59756,1994-10-12,1995-10-12
100018,63513,1995-10-12,1996-10-11
100018,67749,1996-10-11,1997-10-11
100018,69830,1997-10-11,1998-10-11
100018,73403,1998-10-11,1999-10-11
100018,77799,1999-10-11,2000-02-23
100019,68143,1990-04-24,1991-04-24
100019,70513,1991-04-24,1992-04-23
100019,71080,1992-04-23,1993-04-23
100019,74139,1993-04-23,1994-04-23
100019,74485,1994-04-23,1995-04-23
100019,75327,1995-04-23,1996-04-22
100019,74849,1996-04-22,1997-04-22
100019,74886,1997-04-22,1998-04-22
100019,74923,1998-04-22,1999-04-22
100019,78139,1999-04-22,2000-04-21
100019,81073,2000-04-21,2001-04-21
100019,84697,2001-04-21,2002-04-21
100019,88424,2002-04-21,9999-01-01
100020,40449,1987-03-01,1988-02-29
100020,43766,1988-02-29,1989-02-28
100020,43322,1989-02-28,1990-02-28
100020,43960,1990-02-28,1991-02-28
100020,44743,1991-02-28,1992-02-28
100020,46546,1992-02-28,1993-02-27
100020,47504,1993-02-27,1994-02-27
100020,48670,1994-02-27,1995-02-27
100020,52957,1995-02-27,1996-02-27
100020,54404,1996-02-27,1997-02-26
100020,56674,1997-02-26,1998-02-26
100020,59498,1998-02-26,1999-02-26
100020,62777,1999-02-26,2000-02-26
100020,66992,2000-02-26,2001-02-25
100020,69940,2001-02-25,2002-02-25
100020,70286,2002-02-25,9999-01-01
100021,40000,1991-10-21,1992-10-20
100021,42955,1992-10-20,1993-10-20
100021,45880,1993-10-20,1994-10-20
100021,48259,1994-10-20,1995-10-20
100021,51004,1995-10-20,1996-10-19
100021,55367,1996-10-19,1997-10-19
100021,58240,1997-10-19,1998-10-19
100021,59783,1998-10-19,1999-10-19
100021,60642,1999-10-19,2000-10-18
100021,63615,2000-10-18,2001-10-18
100021,67427,2001-10-18,9999-01-01
100022,58805,1985-02-04,1986-02-04
100022,61118,1986-02-04,1987-02-04
100022,65103,1987-02-04,1988-02-04
100022,64712,1988-02-04,1989-02-03
100022,65245,1989-02-03,1990-02-03
100022,65376,1990-02-03,1991-02-03
100022,65655,1991-02-03,1992-02-03
100022,68403,1992-02-03,1993-02-02
100022,69088,1993-02-02,1994-02-02
100022,73077,1994-02-02,1995-02-02
100022,74769,1995-02-02,1996-02-02
100022,77986,1996-02-02,1997-02-01
100022,79580,1997-02-01,1998-02-01
100022,79209,1998-02-01,1999-02-01
100022,79788,1999-02-01,2000-02-01
100022,80416,2000-02-01,2001-01-31
100022,83958,2001-01-31,2002-01-31
100022,86838,2002-01-31,9999-01-01
100023,43162,1988-07-13,1989-07-13
100023,44657,1989-07-13,1990-07-13
100023,45336,1990-07-13,1991-07-13
100023,45776,1991-07-13,1992-07-12
100023,45591,1992-07-12,1992-08-04
100024,70235,1993-03-27,1994-03-27
100024,73593,1994-03-27,1995-03-27
100024,77230,1995-03-27,1996-03-26
100024,77034,1996-03-26,1997-03-26
100024,81291,1997-03-26,1998-03-26
100024,85162,1998-03-26,1999-03-26
100024,87050,1999-03-26,2000-03-25
100024,89801,2000-03-25,2001-03-25
100024,90545,2001-03-25,2002-03-25
100024,90606,2002-03-25,9999-01-01
100025,40000,1995-02-15,1996-02-15
100025,43438,1996-02-15,1997-02-14
100025,44441,1997-02-14,1998-02-14
100025,47139,1998-02-14,1999-02-14
100025,47970,1999-02-14,2000-02-14
100025,51598,2000-02-14,2001-02-13
100025,53614,2001-02-13,2002-02-13
100025,54568,2002-02-13,9999-01-01
100026,66602,1998-06-16,1999-06-16
100026,66278,1999-06-16,2000-06-15
100026,70421,2000-06-15,2000-10-17
100027,40000,1987-05-09,1988-05-08
100027,39966,1988-05-08,1989-05-08
100027,42210,1989-05-08,1990-05-08
100027,45299,1990-05-08,1991-05-08
100027,46913,1991-05-08,1992-05-07
100027,46593,1992-05-07,1993-05-07
100027,47057,1993-05-07,1994-05-07
100027,49779,1994-05-07,1995-05-07
100027,52469,1995-05-07,1996-05-06
100027,55086,1996-05-06,1997-05-06
100027,55884,1997-05-06,1998-05-06
100027,57986,1998-05-06,1999-05-06
100027,61494,1999-05-06,2000-05-05
100027,65141,2000-05-05,2001-05-05
100027,67946,2001-05-05,2002-05-05
100027,69447,2002-05-05,9999-01-01
100028,50218,1989-02-03,1990-02-03
100028,54129,1990-02-03,1991-02-03
100028,53798,1991-02-03,1992-02-03
100028,57455,1992-02-03,1993-02-02
100028,60079,1993-02-02,1994-02-02
100028,60666,1994-02-02,1995-02-02
100028,61762,1995-02-02,1996-02-02
100028,63325,1996-02-02,1997-02-01
100028,66247,1997-02-01,1998-02-01
100028,69791,1998-02-01,1999-02-01
100028,69644,1999-02-01,2000-02-01
100028,71904,2000-02-01,2001-01-31
100028,74570,2001-01-31,2002-01-31
100028,76563,2002-01-31,9999-01-01
100029,57282,1991-08-31,1992-08-30
100029,60088,1992-08-30,1993-08-30
100029,63269,1993-08-30,1994-08-30
100029,64668,1994-08-30,1995-08-30
100029,68419,1995-08-30,1996-08-29
100029,70891,1996-08-29,1997-08-29
100029,71419,1997-08-29,1998-08-29
100029,75442,1998-08-29,1999-08-29
100029,77174,1999-08-29,2000-08-28
100029,79639,2000-08-28,2001-08-28
100029,83642,2001-08-28,9999-01-01
100030,55611,1996-02-13,1997-02-12
100030,56195,1997-02-12,1998-02-12
100030,58158,1998-02-12,1999-02-12
100030,61532,1999-02-12,2000-02-12
100030,63958,2000-02-12,2001-02-11
100030,66691,2001-02-11,2002-02-11
100030,66545,2002-02-11,9999-01-01
100031,63480,1991-04-07,1992-04-06
100031,64128,1992-04-06,1993-04-06
100031,64923,1993-04-06,1994-04-06
100031,68905,1994-04-06,1995-04-06
100031,68974,1995-04-06,1996-04-05
100031,68657,1996-04-05,1997-04-05
100031,69236,1997-04-05,1998-04-05
100031,69376,1998-04-05,1999-04-05
100031,69874,1999-04-05,2000-04-04
100031,74313,2000-04-04,2001-04-04
100031,74563,2001-04-04,2001-06-24
100032,40000,1988-01-20,1989-01-19
100032,40681,1989-01-19,1990-01-19
100032,42960,1990-01-19,1991-01-19
100032,42826,1991-01-19,1992-01-19
100032,44900,1992-01-19,1993-01-18
100032,46349,1993-01-18,1994-01-18
100032,47052,1994-01-18,1995-01-18
100032,46950,1995-01-18,1996-01-18
100032,51130,1996-01-18,1997-01-17
100032,54888,1997-01-17,1998-01-17
100032,56082,1998-01-17,1999-01-17
100032,58044,1999-01-17,2000-01-17
100032,61858,2000-01-17,2001-01-16
100032,61760,2001-01-16,2002-01-16
100032,61945,2002-01-16,9999-01-01
100033,42549,1994-08-19,1995-08-19
100033,43375,1995-08-19,1996-08-18
100033,46804,1996-08-18,1997-08-18
100033,46888,1997-08-18,1998-08-18
100033,49786,1998-08-18,1999-08-18
100033,53842,1999-08-18,2000-08-17
100033,54871,2000-08-17,2001-08-17
100033,55860,2001-08-17,9999-01-01
100034,90512,1992-10-07,1993-10-07
100034,94014,1993-10-07,1994-10-07
100034,97558,1994-10-07,1995-10-07
100034,97254,1995-10-07,1996-10-06
100034,98852,1996-10-06,1997-10-06
100034,101953,1997-10-06,1998-10-06
100034,104306,1998-10-06,1999-10-06
100034,108111,1999-10-06,2000-10-05
100034,110440,2000-10-05,2001-10-05
100034,112708,2001-10-05,9999-01-01
100035,56338,1987-06-02,1988-06-01
100035,59966,1988-06-01,1989-06-01
100035,60768,1989-06-01,1990-06-01
100035,65040,1990-06-01,1991-06-01
100035,67705,1991-06-01,1992-02-24
100036,40000,1998-12-15,1999-12-15
100036,43385,1999-12-15,2000-12-14
100036,46142,2000-12-14,2001-12-14
100036,47256,2001-12-14,9999-01-01
100037,46222,1996-08-05,1997-08-05
100037,47577,1997-08-05,1998-08-05
100037,49407,1998-08-05,1999-08-05
100037,50517,1999-08-05,2000-08-04
100037,52836,2000-08-04,2001-08-04
100037,54864,2001-08-04,9999-01-01
100038,48164,2000-01-15,2001-01-14
100038,51408,2001-01-14,2002-01-14
100038,52601,2002-01-14,9999-01-01
100039,43216,1994-12-02,1995-12-02
100039,45489,1995-12-02,1996-12-01
100039,49749,1996-12-01,1997-12-01
100039,52364,1997-12-01,1998-12-01
100039,52453,1998-12-01,1999-12-01
100039,53859,1999-12-01,2000-11-30
100039,54219,2000-11-30,2001-11-30
100039,57089,2001-11-30,9999-01-01
100040,64329,1993-05-10,1994-05-10
100040,66726,1994-05-10,1995-05-10
100040,68456,1995-05-10,1996-05-09
100040,72509,1996-05-09,1997-05-09
100040,72556,1997-05-09,1998-05-09
100040,75830,1998-05-09,1999-05-09
100040,76706,1999-05-09,2000-05-08
100040,78188,2000-05-08,2000-12-09
100041,42299,1995-10-18,1996-10-17
100041,42051,1996-10-17,1997-10-17
100041,43938,1997-10-17,1998-10-17
100041,44357,1998-10-17,1999-10-17
100041,46942,1999-10-17,2000-10-16
100041,48902,2000-10-16,2001-10-16
100041,50006,2001-10-16,9999-01-01
100042,84331,2000-01-11,2001-01-10
100042,85603,2001-01-10,2002-01-10
100042,85450,2002-01-10,9999-01-01
100043,40000,1993-03-29,1994-03-29
100043,42635,1994-03-29,1995-03-29
100043,43394,1995-03-29,1996-03-28
100043,44331,1996-03-28,1997-03-28
100043,46227,1997-03-28,1998-03-28
100043,45857,1998-03-28,1999-03-28
100043,48224,1999-03-28,2000-03-27
100043,47893,2000-03-27,2001-03-27
100043,49043,2001-03-27,2002-03-27
100043,51071,2002-03-27,9999-01-01
100044,42867,1995-11-22,1996-11-21
100044,45350,1996-11-21,1997-11-21
100044,45349,1997-11-21,1998-11-21
100044,48318,1998-11-21,1999-11-21
100044,49735,1999-11-21,2000-11-20
100044,49983,2000-11-20,2001-11-20
100044,51563,2001-11-20,9999-01-01
100045,77996,1994-07-12,1995-07-12
100045,81352,1995-07-12,1996-07-11
100045,81982,1996-07-11,1997-07-11
100045,83756,1997-07-11,1998-07-11
100045,84812,1998-07-11,1999-07-11
100045,88103,1999-07-11,2000-07-10
100045,88154,2000-07-10,2001-07-10
100045,88384,2001-07-10,2002-07-10
100045,92851,2002-07-10,9999-01-01
100046,40000,1986-06-14,1987-06-14
100046,40195,1987-06-14,1988-06-13
100046,44190,1988-06-13,1989-06-13
100046,44566,1989-06-13,1990-06-13
100046,47329,1990-06-13,1991-06-13
100046,48192,1991-06-13,1992-06-12
100046,47750,1992-06-12,1993-06-12
100046,48058,1993-06-12,1994-06-12
100046,52182,1994-06-12,1995-06-12
100046,52613,1995-06-12,1996-06-11
100046,55619,1996-06-11,1997-06-11
100046,56525,1997-06-11,1998-06-11
100046,56677,1998-06-11,1999-06-11
100046,60288,1999-06-11,2000-06-10
100046,64298,2000-06-10,2001-06-10
100046,64582,2001-06-10,2002-06-10
100046,66020,2002-06-10,9999-01-01
100047,63750,1999-11-30,2000-11-29
100047,66201,2000-11-29,2001-11-29
100047,67213,2001-11-29,9999-01-01
100048,40415,1988-11-28,1989-11-28
100048,41503,1989-11-28,1990-11-28
100048,43186,1990-11-28,1991-11-28
100048,47550,1991-11-28,1992-11-27
100048,49103,1992-11-27,1993-11-27
100048,52211,1993-11-27,1994-11-27
100048,55529,1994-11-27,1995-11-27
100048,55521,1995-11-27,1996-11-26
100048,55207,1996-11-26,1997-11-26
100048,57225,1997-11-26,1998-11-26
100048,58772,1998-11-26,1999-11-26
100048,61591,1999-11-26,2000-11-25
100048,65032,2000-11-25,2001-11-25
100048,67553,2001-11-25,2002-03-25
100049,65407,1999-10-26,2000-10-25
100049,68204,2000-10-25,2001-10-25
100049,69218,2001-10-25,9999-01-01
100050,44421,1989-12-22,1990-12-22
100050,48378,1990-12-22,1991-12-22
100050,48681,1991-12-22,1992-12-21
100050,51569,1992-12-21,1993-12-21
100050,53747,1993-12-21,1994-12-21
100050,57753,1994-12-21,1995-12-21
100050,60231,1995-12-21,1996-12-20
100050,59813,1996-12-20,1997-12-20
100050,62889,1997-12-20,1998-12-20
100050,65481,1998-12-20,1999-12-20
100050,65678,1999-12-20,2000-12-19
100050,69490,2000-12-19,2001-12-19
100050,73868,2001-12-19,9999-01-01
100051,40000,1991-08-10,1992-08-09
100051,43799,1992-08-09,1993-08-09
100051,43887,1993-08-09,1994-08-09
100051,47456,1994-08-09,1995-08-09
100051,47176,1995-08-09,1996-08-08
100051,49420,1996-08-08,1997-08-08
100051,52520,1997-08-08,1998-08-08
100051,56870,1998-08-08,1999-08-08
100051,60961,1999-08-08,2000-08-07
100051,65298,2000-08-07,2001-08-07
100051,65364,2001-08-07,9999-01-01
100052,40000,1989-03-08,1990-03-08
100052,40097,1990-03-08,1991-03-08
100052,43788,1991-03-08,1991-09-09
100053,52824,1994-11-13,1995-11-13
100053,56895,1995-11-13,1996-11-12
100053,59923,1996-11-12,1997-11-12
100053,63681,1997-11-12,1998-11-12
100053,66597,1998-11-12,1999-11-12
100053,70764,1999-11-12,2000-11-11
100053,70705,2000-11-11,2001-11-11
100053,72663,2001-11-11,9999-01-01
100054,45289,1994-10-15,1995-10-15
100054,49317,1995-10-15,1996-10-14
100054,52572,1996-10-14,1997-10-14
100054,55481,1997-10-14,1998-10-14
100054,59279,1998-10-14,1999-10-14
100054,60733,1999-10-14,2000-10-13
100054,62955,2000-10-13,2001-10-13
100054,64430,2001-10-13,9999-01-01
100055,40000,1999-01-07,2000-01-07
100055,44425,2000-01-07,2001-01-06
100055,44763,2001-01-06,2002-01-06
100055,47738,2002-01-06,9999-01-01
100056,40000,1987-10-25,1988-10-24
100056,42841,1988-10-24,1989-10-24
100056,42747,1989-10-24,1990-10-24
100056,45911,1990-10-24,1991-10-24
100056,46557,1991-10-24,1992-10-23
100056,46650,1992-10-23,1993-10-23
100056,47489,1993-10-23,1994-10-23
100056,51281,1994-10-23,1995-10-23
100056,51993,1995-10-23,1996-10-22
100056,54649,1996-10-22,1997-10-22
100056,58022,1997-10-22,1998-10-22
100056,58226,1998-10-22,1999-10-22
100056,58803,1999-10-22,2000-10-21
100056,59037,2000-10-21,2001-04-23
100057,53853,1988-03-12,1989-03-12
100057,56342,1989-03-12,1990-03-12
100057,57003,1990-03-12,1991-03-12
100057,57930,1991-03-12,1992-03-11
100057,60333,1992-03-11,1993-03-11
100057,64285,1993-03-11,1994-03-11
100057,66953,1994-03-11,1995-03-11
100057,67515,1995-03-11,1996-03-10
100057,68451,1996-03-10,1997-03-10
100057,71305,1997-03-10,1998-03-10
100057,71728,1998-03-10,1999-03-10
100057,76192,1999-03-10,2000-03-09
100057,76822,2000-03-09,2001-03-09
100057,80346,2001-03-09,2002-03-09
100057,84238,2002-03-09,9999-01-01
100058,47213,1998-01-21,1999-01-21
100058,50806,1999-01-21,2000-01-21
100058,52904,2000-01-21,2001-01-20
100058,55320,2001-01-20,2002-01-20
100058,57075,2002-01-20,9999-01-01
100059,84456,1990-03-15,1991-03-15
100059,85718,1991-03-15,1992-03-14
100059,87281,1992-03-14,1993-03-14
100059,90000,1993-03-14,1994-03-14
100059,90768,1994-03-14,1995-03-14
100059,90724,1995-03-14,1996-03-13
100059,93877,1996-03-13,1997-03-13
100059,95506,1997-03-13,1998-03-13
100059,96463,1998-03-13,1999-03-13
100059,100661,1999-03-13,2000-03-12
100059,104209,2000-03-12,2001-03-12
100059,107851,2001-03-12,2002-03-12
100059,112080,2002-03-12,9999-01-01
100060,51467,1993-12-20,1994-12-20
100060,55799,1994-12-20,1995-12-20
100060,57988,1995-12-20,1996-12-19
100060,58735,1996-12-19,1997-12-19
100060,62344,1997-12-19,1998-12-19
100060,65491,1998-12-19,1999-12-19
100060,67862,1999-12-19,2000-12-18
100060,70956,2000-12-18,2001-12-18
100060,72296,2001-12-18,9999-01-01
100061,40000,1985-11-29,1986-11-29
100061,41900,1986-11-29,1987-11-29
100061,41594,1987-11-29,1988-11-28
100061,43191,1988-11-28,1989-11-28
100061,44698,1989-11-28,1990-11-28
100061,44291,1990-11-28,1991-11-28
100061,48619,1991-11-28,1992-11-27
100061,50547,1992-11-27,1993-11-27
100061,52209,1993-11-27,1994-11-27
100061,56565,1994-11-27,1995-11-27
100061,59026,1995-11-27,1996-11-26
100061,61532,1996-11-26,1997-11-26
100061,64726,1997-11-26,1998-11-26
100061,68097,1998-11-26,1999-11-26
100061,68233,1999-11-26,2000-11-25
100061,70686,2000-11-25,2001-11-25
100061,72507,2001-11-25,9999-01-01
100062,61170,1992-05-08,1993-05-08
100062,64254,1993-05-08,1994-05-05
100063,64546,1998-09-14,1999-09-14
100063,68908,1999-09-14,2000-09-13
100063,72852,2000-09-13,2001-09-13
100063,75465,2001-09-13,9999-01-01
100064,40000,1999-03-20,2000-03-19
100064,44373,2000-03-19,2001-03-19
100064,46448,2001-03-19,2002-03-19
100064,48451,2002-03-19,9999-01-01
100065,40000,1986-05-04,1987-05-04
100065,43459,1987-05-04,1988-05-03
100065,46381,1988-05-03,1989-05-03
100065,48380,1989-05-03,1990-05-03
100065,52015,1990-05-03,1991-05-03
100065,53720,1991-05-03,1992-05-02
100065,57027,1992-05-02,1993-05-02
100065,59980,1993-05-02,1994-05-02
100065,62065,1994-05-02,1995-05-02
100065,63056,1995-05-02,1996-05-01
100065,64283,1996-05-01,1997-05-01
100065,68739,1997-05-01,1998-05-01
100065,69894,1998-05-01,1999-05-01
100065,73885,1999-05-01,2000-04-30
100065,75698,2000-04-30,2001-04-30
100065,77465,2001-04-30,2002-04-30
100065,81220,2002-04-30,9999-01-01
100066,45543,1998-07-12,1999-07-12
100066,47370,1999-07-12,2000-07-11
100066,50591,2000-07-11,2001-07-11
100066,53239,2001-07-11,2002-07-11
100066,56531,2002-07-11,9999-01-01
100067,52877,1992-04-19,1993-04-19
100067,55313,1993-04-19,1994-04-19
100067,58879,1994-04-19,1995-04-19
100067,61059,1995-04-19,1996-04-18
100067,62146,1996-04-18,1996-10-01
100068,53618,1991-08-07,1992-08-06
100068,56649,1992-08-06,1993-08-06
100068,57428,1993-08-06,1994-08-06
100068,57434,1994-08-06,1995-08-06
100068,60121,1995-08-06,1996-04-21
100069,40000,1995-01-11,1996-01-11
100069,41166,1996-01-11,1997-01-10
100069,45314,1997-01-10,1998-01-10
100069,46467,1998-01-10,1999-01-10
100069,47391,1999-01-10,2000-01-10
100069,46922,2000-01-10,2001-01-09
100069,50093,2001-01-09,2002-01-09
100069,52571,2002-01-09,9999-01-01
100070,40000,1987-09-30,1988-09-29
100070,43513,1988-09-29,1989-09-29
100070,45318,1989-09-29,1990-09-29
100070,49127,1990-09-29,1991-09-29
100070,50507,1991-09-29,1992-09-28
100070,53767,1992-09-28,1993-09-28
100070,54120,1993-09-28,1994-09-28
100070,58539,1994-09-28,1995-09-28
100070,60636,1995-09-28,1996-09-27
100070,64880,1996-09-27,1997-09-27
100070,66395,1997-09-27,1998-09-27
100070,69818,1998-09-27,1999-09-27
100070,72173,1999-09-27,2000-09-26
100070,75102,2000-09-26,2001-09-26
100070,75646,2001-09-26,9999-01-01
100071,57840,1995-03-25,1996-03-24
100071,61096,1996-03-24,1997-03-24
100071,60680,1997-03-24,1998-03-24
100071,64413,1998-03-24,1999-03-24
100071,65435,1999-03-24,2000-03-23
100071,65680,2000-03-23,2001-03-23
100071,66889,2001-03-23,2002-03-23
100071,71378,2002-03-23,9999-01-01
100072,40248,1997-06-17,1998-06-17
100072,42935,1998-06-17,1999-06-17
100072,45806,1999-06-17,2000-06-16
100072,48565,2000-06-16,2001-06-16
100072,51739,2001-06-16,2002-06-16
100072,53925,2002-06-16,9999-01-01
100073,57376,1992-05-04,1993-05-04
100073,58643,1993-05-04,1994-05-04
100073,59316,1994-05-04,1995-05-04
100073,62743,1995-05-04,1996-05-03
100073,65964,1996-05-03,1997-05-03
100073,69887,1997-05-03,1998-05-03
100073,73590,1998-05-03,1999-05-03
100073,76263,1999-05-03,2000-05-02
100073,77170,2000-05-02,2001-05-02
100073,80473,2001-05-02,2001-07-27
100074,40000,1986-07-15,1987-07-15
100074,42768,1987-07-15,1988-07-14
100074,45882,1988-07-14,1989-07-14
100074,45836,1989-07-14,1990-07-14
100074,46337,1990-07-14,1991-07-14
100074,50290,1991-07-14,1992-07-13
100074,52764,1992-07-13,1993-07-13
100074,55194,1993-07-13,1994-07-13
100074,55275,1994-07-13,1995-07-13
100074,58387,1995-07-13,1996-07-12
100074,61502,1996-07-12,1997-07-12
100074,64982,1997-07-12,1998-07-12
100074,65001,1998-07-12,1999-07-12
100074,68184,1999-07-12,2000-07-11
100074,68280,2000-07-11,2001-07-11
100074,70621,2001-07-11,2002-07-11
100074,73597,2002-07-11,9999-01-01
100075,58319,1996-07-25,1997-07-25
100075,60236,1997-07-25,1998-07-25
100075,61021,1998-07-25,1999-07-25
100075,62416,1999-07-25,2000-07-24
100075,66640,2000-07-24,2000-07-31
100076,40000,1994-04-07,1995-04-07
100076,43135,1995-04-07,1996-04-05
100076,44044,1996-04-05,1997-04-05
100076,46854,1997-04-05,1998-04-06
100076,50021,1998-04-06,1999-04-06
100076,54118,1999-04-06,2000-04-05
100076,58385,2000-04-05,2001-04-05
100076,58897,2001-04-05,2002-04-04
100076,58689,2002-04-04,9999-01-01
100077,53593,1994-10-25,1995-10-25
100077,53364,1995-10-25,1996-10-24
100077,54278,1996-10-24,1997-10-24
100077,54152,1997-10-24,1998-10-24
100077,58498,1998-10-24,1999-10-24
100077,60530,1999-10-24,2000-10-23
100077,61836,2000-10-23,2001-10-23
100077,65318,2001-10-23,9999-01-01
100078,40000,1997-11-17,1998-11-17
100078,43215,1998-11-17,1999-11-17
100078,46111,1999-11-17,2000-11-16
100078,47858,2000-11-16,2001-11-16
100078,51679,2001-11-16,9999-01-01
100079,40000,1994-09-17,1995-09-17
100079,41272,1995-09-17,1996-09-16
100079,42183,1996-09-16,1997-09-16
100079,41695,1997-09-16,1998-09-16
100079,44204,1998-09-16,1999-09-16
100079,45136,1999-09-16,2000-09-15
100079,48870,2000-09-15,2001-09-15
100079,53042,2001-09-15,9999-01-01
100080,40000,1989-04-29,1990-04-29
100080,40969,1990-04-29,1991-04-29
100080,41750,1991-04-29,1992-04-28
100080,44482,1992-04-28,1993-04-28
100080,44453,1993-04-28,1994-04-28
100080,48537,1994-04-28,1995-04-28
100080,50452,1995-04-28,1996-04-27
100080,52645,1996-04-27,1997-04-27
100080,55247,1997-04-27,1998-04-27
100080,56640,1998-04-27,1999-04-27
100080,59704,1999-04-27,1999-07-16
100081,77441,1996-01-28,1997-01-27
100081,78770,1997-01-27,1998-01-27
100081,81120,1998-01-27,1999-01-27
100081,81024,1999-01-27,2000-01-27
100081,82192,2000-01-27,2001-01-26
100081,84010,2001-01-26,2002-01-26
100081,88393,2002-01-26,9999-01-01
100082,40000,1994-04-04,1995-04-04
100082,43396,1995-04-04,1996-04-02
100082,45707,1996-04-02,1997-04-02
100082,47762,1997-04-02,1998-04-02
100082,48649,1998-04-02,1999-04-02
100082,49064,1999-04-02,2000-04-01
100082,52904,2000-04-01,2001-04-02
100082,54559,2001-04-02,2002-04-01
100082,58458,2002-04-01,9999-01-01
100083,40000,1993-02-23,1994-02-23
100083,41790,1994-02-23,1995-02-23
100083,43824,1995-02-23,1996-02-23
100083,44786,1996-02-23,1997-02-22
100083,46693,1997-02-22,1998-02-22
100083,50335,1998-02-22,1999-02-22
100083,51251,1999-02-22,2000-02-22
100083,51784,2000-02-22,2001-02-21
100083,54518,2001-02-21,2002-02-21
100083,57784,2002-02-21,9999-01-01
100084,67442,1992-05-28,1993-05-28
100084,69117,1993-05-28,1994-05-28
100084,68716,1994-05-28,1995-05-28
100084,68495,1995-05-28,1996-05-27
100084,71741,1996-05-27,1997-05-27
100084,75430,1997-05-27,1998-05-27
100084,75908,1998-05-27,1999-05-27
100084,79349,1999-05-27,2000-05-26
100084,82763,2000-05-26,2001-05-26
100084,85075,2001-05-26,2002-05-26
100084,87887,2002-05-26,9999-01-01
100085,42872,1987-05-08,1988-05-07
100085,47293,1988-05-07,1989-05-07
100085,48259,1989-05-07,1990-05-07
100085,48731,1990-05-07,1991-05-07
100085,51007,1991-05-07,1992-05-06
100085,51660,1992-05-06,1993-05-06
100085,52870,1993-05-06,1994-05-06
100085,53420,1994-05-06,1995-05-06
100085,56531,1995-05-06,1996-05-05
100085,56325,1996-05-05,1997-05-05
