emp_no,salary,from_date,to_date
10069,69876,1995-06-14,1996-06-13
10070,67223,1991-10-13,1992-10-12
10074,67516,1993-08-12,1994-08-12
10075,67492,2000-05-14,2001-01-15
10079,67231,2001-12-11,9999-01-01
10080,68691,1999-09-27,2000-09-26
10081,66796,1993-10-28,1994-10-28
10081,66704,1994-10-28,1995-10-28
10081,68102,1995-10-28,1996-10-27
10081,69882,1996-10-27,1997-10-27
10083,67142,1998-03-28,1999-03-28
10084,69811,1995-12-15,1996-12-14
10088,67837,1989-09-02,1990-09-02
10089,69267,1996-01-09,1997-01-08
10090,69311,1996-03-11,1997-03-11
10092,66803,2002-04-21,9999-01-01
10093,67856,1997-06-08,1998-06-08
10094,66339,1990-04-17,1991-04-17
10094,68848,1991-04-17,1992-04-16
10095,66404,1996-03-09,1997-03-09
10095,67641,1997-03-09,1998-03-09
10096,68612,2002-01-22,9999-01-01
10097,67846,2000-09-12,2001-09-12
10099,68781,1988-10-18,1989-10-18
10100,68037,1995-09-19,1996-09-18
10100,69404,1996-09-18,1997-09-18
10101,66591,1998-10-14,1999-10-14
10101,66715,1999-10-14,2000-09-23
10103,68158,1998-01-12,1999-01-12
10104,67186,1995-04-14,1996-04-13
10104,69048,1996-04-13,1997-04-13
10104,68825,1997-04-13,1998-04-13
10106,68515,1994-10-26,1995-10-26
10106,69581,1995-10-26,1996-10-25
10110,69692,1994-08-20,1995-08-20
10113,69856,1998-09-14,1999-09-14
10117,67513,1998-03-18,1999-03-18
10117,68839,1999-03-18,2000-03-17
10121,66834,2002-04-30,9999-01-01
10125,66048,1993-10-25,1994-10-25
10125,68294,1994-10-25,1995-10-25
10125,69518,1995-10-25,1996-03-25
10126,66149,1995-09-06,1996-09-05
10126,67842,1996-09-05,1997-09-05
10128,67619,2002-06-03,9999-01-01
10130,67898,2000-06-18,2001-06-18
10132,67405,2000-06-17,2001-06-17
10132,67675,2001-06-17,2002-06-17
10132,69587,2002-06-17,9999-01-01
10133,67143,1996-12-12,1997-12-12
10134,69194,2001-12-08,9999-01-01
10137,67007,2000-02-15,2001-02-14
10137,68061,2001-02-14,2002-02-14
10137,67794,2002-02-14,9999-01-01
10138,67990,1997-03-02,1998-03-02
10138,69969,1998-03-02,1999-03-02
10138,69941,1999-03-02,2000-03-01
10140,66204,1997-03-12,1998-03-12
10140,69470,1998-03-12,1999-03-12
10140,69527,1999-03-12,2000-03-11
10141,67095,2000-07-22,2001-07-22
10141,69238,2001-07-22,2002-07-22
10143,66113,2000-09-27,2001-09-27
10144,66772,1988-10-13,1989-10-13
10144,68160,1989-10-13,1990-10-13
10147,66714,1997-12-15,1998-12-15
10147,66929,1998-12-15,1999-12-15
10147,67728,1999-12-15,2000-12-14
10148,67283,1998-07-15,1999-07-15
10148,68106,1999-07-15,2000-07-14
10148,68483,2000-07-14,2001-07-14
10148,69231,2001-07-14,2002-07-14
10155,66074,2000-01-03,2001-01-02
10155,66666,2001-01-02,2002-01-02
10155,66419,2002-01-02,9999-01-01
10156,66750,2000-05-12,2001-05-12
10158,67016,2001-05-31,2002-05-31
10158,68624,2002-05-31,9999-01-01
10163,66351,2001-01-30,2002-01-30
10163,67661,2002-01-30,9999-01-01
10164,66438,1998-10-17,1999-10-17
10164,67246,1999-10-17,2000-10-16
10165,67179,1997-05-15,1998-05-15
10165,67249,1998-05-15,1999-05-15
10165,69698,1999-05-15,2000-05-14
10167,66033,1996-04-03,1997-04-03
10167,66781,1997-04-03,1998-04-03
10167,66602,1998-04-03,1999-04-03
10167,67226,1999-04-03,2000-04-02
10168,66528,1995-12-04,1996-12-03
10174,69062,1992-05-30,1993-05-30
10176,68423,1999-12-21,2000-12-20
10181,66519,1998-06-20,1999-06-20
10182,67049,2001-08-30,9999-01-01
10185,68334,1986-03-01,1987-03-01
10188,67384,1992-08-25,1993-08-25
10188,69253,1993-08-25,1994-08-25
10192,67363,1998-06-11,1999-06-11
10192,69189,1999-06-11,2000-06-10
10194,68603,1998-02-14,1999-02-14
10195,67603,1996-02-13,1997-02-12
10195,69856,1997-02-12,1998-02-12
10198,67163,1998-08-28,1999-08-28
10198,67920,1999-08-28,2000-08-27
10198,68936,2000-08-27,2001-08-27
10198,69268,2001-08-27,9999-01-01
10202,66848,1998-10-04,1999-10-04
10202,68804,1999-10-04,2000-10-03
10202,69093,2000-10-03,2001-10-03
10202,69727,2001-10-03,9999-01-01
10206,67137,1999-04-17,2000-04-16
10206,67944,2000-04-16,2001-04-16
10206,67588,2001-04-16,2002-04-16
10207,67724,2000-10-09,2001-10-09
10207,69959,2001-10-09,9999-01-01
10208,66054,1997-02-04,1998-02-04
10208,67010,1998-02-04,1999-02-04
10209,66422,1997-11-21,1998-11-21
10209,66338,1998-11-21,1999-11-21
10212,69623,1997-01-27,1998-01-27
10214,66102,1993-02-27,1994-02-27
10214,66841,1994-02-27,1995-02-27
10214,69124,1995-02-27,1996-02-27
10220,67288,2000-09-15,2001-09-15
10220,69036,2001-09-15,9999-01-01
10221,66699,1994-06-07,1995-06-07
10221,66688,1995-06-07,1996-06-06
10221,66883,1996-06-06,1997-06-06
10221,66818,1997-06-06,1998-06-06
10221,69157,1998-06-06,1999-06-06
10222,66744,2000-06-04,2001-06-04
10223,69070,2000-03-31,2001-03-31
10227,69404,1999-10-31,2000-10-30
10229,68631,2000-02-19,2000-06-30
10238,67630,2002-03-29,9999-01-01
10239,69244,1997-05-04,1998-05-04
10242,66283,2000-01-15,2001-01-14
10242,69619,2002-01-14,9999-01-01
10243,66529,1991-06-06,1992-06-05
10243,67820,1992-06-05,1993-06-05
10243,67817,1993-06-05,1994-06-05
10243,68158,1994-06-05,1995-06-05
10243,67910,1995-06-05,1996-06-04
10246,67035,2001-01-29,2002-01-29
10246,67906,2002-01-29,9999-01-01
10248,66156,1994-08-12,1995-08-12
10251,66811,1995-06-25,1996-06-24
10253,67819,1987-02-21,1988-02-21
10253,67718,1988-02-21,1989-02-20
10254,67256,1993-06-13,1994-06-13
10254,69257,1994-06-13,1995-06-13
10255,66651,1996-05-11,1997-05-11
10258,66280,1985-05-17,1986-05-17
10260,69458,1996-02-01,1997-01-31
10260,69054,1997-01-31,1998-01-31
10262,66547,1998-01-21,1999-01-21
10262,67957,1999-01-21,2000-01-21
10262,69626,2000-01-21,2001-01-20
10263,67883,1996-12-21,1997-12-21
10263,68147,1997-12-21,1998-12-21
10264,66229,2001-07-15,2002-07-15
10264,66168,2002-07-15,9999-01-01
10266,66785,1997-05-23,1998-05-23
10266,68674,1998-05-23,1999-05-23
10271,66147,1991-05-22,1992-05-21
10272,67888,2001-10-22,9999-01-01
10275,68583,2001-09-04,9999-01-01
10277,66277,1987-06-16,1988-06-15
10277,66060,1988-06-15,1989-06-15
10277,67673,1990-06-15,1991-06-15
10280,66695,1995-01-27,1996-01-27
10280,67496,1996-01-27,1997-01-26
10280,69704,1997-01-26,1998-01-26
10285,67483,1998-05-24,1999-05-24
10287,69331,1997-12-27,1998-12-27
10291,67166,1992-03-28,1993-03-28
10291,69156,1993-03-28,1994-03-28
10291,68897,1994-03-28,1995-03-28
10294,66448,1999-01-30,1999-05-04
10297,66482,1987-05-28,1988-05-27
10297,69667,1988-05-27,1989-05-27
10301,67672,2000-05-20,2001-05-20
10301,69946,2001-05-20,2002-05-20
10302,67408,1990-07-21,1991-07-21
10308,67861,1994-12-29,1995-12-29
10308,69746,1995-12-29,1996-12-28
10312,66392,1989-08-27,1990-08-27
10312,67298,1990-08-27,1991-08-27
10313,66612,1997-10-09,1998-10-09
10314,67541,1993-01-14,1994-01-14
10314,67191,1994-01-14,1995-01-14
10314,68075,1995-01-14,1996-01-14
10314,68434,1996-01-14,1997-01-13
10315,66382,1990-08-27,1991-08-27
10315,68748,1991-08-27,1992-08-26
10320,69337,1991-11-03,1992-11-02
10322,66027,1999-01-27,2000-01-27
10323,67687,2001-06-03,2002-06-03
10324,67499,1999-07-19,2000-07-18
10329,66691,1994-01-18,1995-01-18
10329,67445,1995-01-18,1996-01-18
10331,67114,1992-10-27,1993-10-27
10331,69126,1993-10-27,1994-10-27
10335,69532,1999-04-05,2000-04-04
10335,69433,2000-04-04,2001-04-04
10335,69784,2001-04-04,2002-04-03
10336,66337,1998-09-27,1999-09-27
10337,66255,2001-04-24,2002-04-24
10337,67239,2002-04-24,9999-01-01
10340,68132,1988-03-30,1989-03-30
10340,68871,1989-03-30,1990-03-30
10342,66854,2000-07-21,2001-07-21
10345,66930,1993-11-08,1994-11-08
10349,66474,2001-09-25,9999-01-01
10353,67688,1991-08-24,1992-08-23
10358,67888,1993-02-18,1994-02-18
10358,67751,1994-02-18,1995-02-18
10361,67435,1988-10-22,1989-10-22
10364,68407,1990-11-13,1991-11-13
10364,68118,1991-11-13,1992-11-12
10367,66648,1992-06-23,1993-06-23
10367,66440,1993-06-23,1994-06-23
10367,69291,1994-06-23,1995-06-23
10371,66377,1994-11-27,1995-11-27
10372,67434,1989-07-29,1990-07-29
10372,68430,1990-07-29,1991-07-29
10374,69568,1993-12-08,1994-12-08
10374,69423,1994-12-08,1995-12-08
10383,66938,1998-06-17,1999-06-17
10383,66687,1999-06-17,2000-06-16
10384,68957,1997-01-13,1998-01-13
10384,68620,1998-01-13,1999-01-13
10386,66299,1989-08-01,1990-08-01
10386,68718,1990-08-01,1991-08-01
10387,66524,1999-01-06,2000-01-06
10388,66259,2001-05-27,2002-05-27
10388,68411,2002-05-27,9999-01-01
10391,67555,1999-01-27,2000-01-27
10391,68461,2000-01-27,2001-01-26
10392,69028,2001-02-27,2002-02-27
10398,68312,1999-10-10,2000-10-09
10398,68124,2000-10-09,2001-10-09
10400,67876,1994-10-17,1995-10-17
10400,68261,1995-10-17,1996-10-16
10402,66333,2000-12-29,2001-12-29
10402,67041,2001-12-29,9999-01-01
10404,66180,1993-08-27,1994-08-27
10404,69264,1994-08-27,1995-08-27
10407,66489,2000-10-29,2001-10-28
10407,68990,2001-10-28,9999-01-01
10409,68422,2001-09-25,9999-01-01
10411,66415,1989-09-02,1990-09-02
10411,68884,1990-09-02,1991-09-02
10412,66929,1992-11-20,1993-11-20
10412,68817,1993-11-20,1994-11-20
10415,68327,2001-10-23,9999-01-01
10416,68993,1989-03-24,1990-03-24
10419,67133,2002-04-23,2002-07-06
10420,69604,1988-01-17,1989-01-16
10424,67098,1996-08-05,1997-08-05
10424,67498,1997-08-05,1998-08-05
10424,69861,1998-08-05,1999-08-05
10426,67302,1986-07-06,1987-07-06
10426,69990,1987-07-06,1988-07-05
10426,69930,1988-07-05,1989-07-05
10429,67227,2000-09-20,2001-09-20
10431,67068,1987-10-08,1988-10-07
10431,68188,1988-10-07,1989-10-07
10436,66415,1998-01-27,1999-01-27
10436,68715,1999-01-27,2000-01-27
10437,66214,2000-04-11,2001-04-11
10437,69208,2001-04-11,2002-04-11
10438,67183,2000-01-17,2001-01-16
10438,69062,2001-01-16,2002-01-16
10439,67028,1995-05-01,1996-04-30
10439,66867,1996-04-30,1997-04-30
10441,66939,1998-07-10,1999-07-10
10441,69607,1999-07-10,2000-07-09
10441,69180,2000-07-09,2001-07-09
10441,68731,2001-07-09,2002-07-09
10443,68249,1995-07-31,1996-07-30
10443,68335,1996-07-30,1997-07-30
10443,68149,1997-07-30,1998-07-30
10443,67940,1998-07-30,1999-07-30
10443,67516,1999-07-30,2000-07-29
10443,67138,2000-07-29,2001-07-29
10445,67336,1991-11-03,1992-11-02
10448,68210,2002-03-10,9999-01-01
10449,67296,1993-03-26,1994-03-26
10449,68851,1994-03-26,1995-03-26
10451,66767,2000-03-09,2001-03-09
10451,67398,2001-03-09,2002-03-09
10453,68724,1997-03-30,1998-03-30
10457,68411,2001-10-22,9999-01-01
10463,66480,1994-02-17,1995-02-17
10463,69498,1995-02-17,1996-02-17
10465,68254,1997-12-10,1998-12-10
10469,68087,1995-06-03,1996-06-02
10469,69923,1996-06-02,1997-06-02
10471,68279,1994-11-17,1995-11-17
10474,66253,1996-02-19,1997-02-18
10474,69583,1997-02-18,1998-02-18
10476,66556,1993-09-18,1994-09-18
10476,68297,1994-09-18,1995-09-18
10477,68859,2002-05-25,9999-01-01
10483,66532,2000-11-08,2001-11-08
10483,69741,2001-11-08,9999-01-01
10490,67424,1993-11-22,1994-11-22
10491,66740,1990-01-17,1991-01-17
10491,68816,1991-01-17,1992-01-17
10491,68936,1992-01-17,1993-01-16
10492,66600,1991-04-29,1992-04-28
10492,69201,1992-04-28,1993-04-28
10492,69153,1993-04-28,1994-04-28
10492,69266,1994-04-28,1995-04-28
10494,66837,2001-12-15,9999-01-01
10497,68083,1994-01-21,1995-01-21
10497,68818,1995-01-21,1996-01-21
10501,66802,1997-09-06,1998-09-06
10501,67860,1998-09-06,1999-09-06
10501,69001,1999-09-06,2000-09-05
10505,68020,1986-07-23,1987-07-23
10508,67407,2002-04-28,9999-01-01
10510,69341,1990-04-20,1991-04-20
10510,69767,1991-04-20,1992-04-19
10517,66144,1991-12-25,1992-12-24
10522,66803,1998-12-09,1999-12-09
10522,68417,1999-12-09,2000-12-08
10524,66151,1991-10-08,1992-10-07
10524,68013,1992-10-07,1993-10-07
10524,69925,1993-10-07,1994-10-07
10526,67051,2000-02-24,2001-02-23
10526,69619,2001-02-23,2002-02-23
10528,68089,1994-10-28,1995-10-28
10530,68487,1987-09-23,1988-09-22
10530,69664,1988-09-22,1989-09-22
10531,66726,2002-03-14,9999-01-01
10533,68012,1995-08-16,1996-08-15
10535,68848,2000-08-19,2001-08-19
10536,66718,1991-10-07,1992-10-06
10536,67768,1992-10-06,1993-10-06
10536,67539,1993-10-06,1994-10-06
10540,66067,1994-05-03,1995-05-03
10540,69270,1998-05-02,1999-05-02
10540,69293,1999-05-02,2000-05-01
10540,69560,2000-05-01,2001-05-01
10545,67236,2000-06-27,2001-06-27
10546,67076,2001-04-11,2002-04-11
10546,69273,2002-04-11,9999-01-01
10549,66016,1997-10-11,1998-10-11
10549,67034,1998-10-11,1999-10-11
10550,68396,2001-01-30,2002-01-30
10551,66079,1994-08-05,1995-08-05
10551,67117,1995-08-05,1996-08-04
10551,67476,1996-08-04,1997-08-04
10551,69797,1997-08-04,1998-08-04
10554,66049,1996-11-26,1997-11-26
10554,69374,1997-11-26,1998-11-26
10556,68797,1992-04-15,1993-04-15
10556,68481,1993-04-15,1994-04-15
10562,66665,1999-07-24,2000-07-23
10568,68143,1996-07-07,1997-07-07
10569,69595,1992-03-11,1993-03-11
10571,69365,1997-02-21,1998-02-21
10571,68968,1998-02-21,1999-02-21
10572,67235,2002-02-12,9999-01-01
10576,68700,1993-01-02,1994-01-02
10578,68453,1998-11-22,1999-11-22
10578,69406,1999-11-22,2000-11-21
10578,69953,2000-11-21,2001-11-21
10579,68602,1993-06-01,1994-06-01
10584,66898,1986-02-17,1987-02-17
10584,69692,1987-02-17,1988-02-17
10585,66791,1998-01-07,1999-01-07
10585,67684,1999-01-07,2000-01-07
10588,66926,2002-07-22,9999-01-01
10589,66695,1999-01-25,2000-01-25
10589,68688,2000-01-25,2001-01-24
10590,69704,1997-04-05,1998-04-06
10592,66493,1998-09-26,1999-09-26
10594,66237,2000-03-30,2001-03-30
10594,69305,2001-03-30,2002-03-30
10594,69849,2002-03-30,9999-01-01
10595,67996,1999-11-22,2000-11-21
10596,66944,2000-05-22,2001-05-22
10596,68344,2001-05-22,2002-05-22
10597,67100,1992-03-31,1993-03-31
10597,68301,1993-03-31,1994-03-31
10597,68830,1994-03-31,1995-03-31
10599,67055,1997-11-15,1998-11-15
10599,69332,1998-11-15,1999-11-15
10600,66358,1995-04-27,1996-04-26
10600,68281,1996-04-26,1997-04-26
10600,68105,1997-04-26,1998-04-26
10600,69191,1998-04-26,1999-04-26
10600,69084,1999-04-26,2000-04-25
10604,68043,1997-04-04,1998-04-04
10604,69279,1998-04-04,1999-04-05
10606,68185,2000-04-28,2001-04-28
10614,66758,2000-02-29,2001-02-28
10620,66792,1996-11-08,1997-11-08
10620,69949,1997-11-08,1998-11-08
10621,68991,1992-02-10,1993-02-09
10622,66534,2002-05-12,9999-01-01
10623,67084,1995-01-14,1996-01-14
10623,66979,1996-01-14,1997-01-13
10625,68510,1989-07-14,1990-07-14
10625,68847,1990-07-14,1991-07-14
10628,69276,1997-03-11,1998-03-11
10634,66194,2001-11-08,9999-01-01
10640,69578,1993-12-04,1994-12-04
10643,67854,1994-11-09,1995-11-09
10645,66309,2000-02-27,2001-02-26
10645,67065,2001-02-26,2002-02-26
10645,67234,2002-02-26,9999-01-01
10648,67990,2001-02-12,2002-02-12
10650,68353,2000-10-02,2001-10-02
10650,69773,2001-10-02,9999-01-01
10653,68606,1999-04-27,2000-04-26
10654,66498,2001-03-22,2002-03-22
10654,68966,2002-03-22,9999-01-01
10657,68506,1997-03-25,1998-03-25
10657,68162,1998-03-25,1999-03-25
10658,68356,1996-04-28,1997-04-28
10658,69148,1997-04-28,1998-04-28
10663,67568,1999-01-22,2000-01-22
10663,69093,2000-01-22,2001-01-21
10664,66946,1995-12-23,1996-12-22
10664,67544,1996-12-22,1997-12-22
10664,67075,1997-12-22,1998-12-22
10668,66485,1998-11-28,1999-09-03
10672,67721,1992-09-28,1993-09-28
10672,67767,1993-09-28,1994-09-28
10675,68456,1995-02-02,1996-02-02
10675,68965,1996-02-02,1997-02-01
10678,67522,1990-08-01,1991-08-01
10686,66137,1993-05-15,1994-05-15
10686,66803,1995-05-15,1996-05-14
10686,69556,1996-05-14,1997-05-14
10687,66082,2001-03-10,2002-03-10
10687,69415,2002-03-10,9999-01-01
10691,67546,2001-09-14,9999-01-01
10694,66120,1996-01-24,1997-01-23
10694,68225,1997-01-23,1998-01-23
10696,68913,1991-09-09,1992-09-08
10699,68375,1997-11-14,1998-11-14
10702,66124,1998-01-12,1999-01-12
10702,67969,1999-01-12,2000-01-12
10702,68863,2000-01-12,2001-01-11
10706,68682,1999-05-02,2000-05-01
10707,66113,1997-12-22,1998-12-22
10707,69057,1998-12-22,1999-12-22
10709,67587,1998-01-30,1999-01-30
10709,67804,1999-01-30,2000-01-30
10709,69305,2000-01-30,2001-01-29
10709,68964,2001-01-29,2002-01-29
10716,69879,1997-08-09,1998-08-09
10717,68163,1997-09-11,1998-09-11
10717,68588,1998-09-11,1999-09-11
10727,67812,1994-01-07,1995-01-07
10728,67848,2001-12-06,9999-01-01
10729,66196,2000-04-16,2001-04-16
10729,66901,2001-04-16,2002-04-16
10738,66147,1996-04-28,1997-04-28
10738,68506,1997-04-28,1998-04-28
10739,66281,1997-03-27,1998-03-27
10739,69167,1998-03-27,1999-03-27
10739,69045,1999-03-27,2000-03-26
10742,67405,1997-04-03,1998-04-03
10745,66091,2000-01-20,2001-01-19
10745,69691,2001-01-19,2002-01-19
10747,68967,1998-10-06,1999-09-20
10748,67829,1998-08-12,1999-08-12
10748,67798,1999-08-12,2000-08-11
10748,69300,2000-08-11,2001-08-11
10749,66183,1989-09-25,1990-09-25
10753,68272,1989-05-16,1990-05-16
10753,68958,1990-05-16,1991-05-16
10754,67478,1990-01-10,1991-01-10
10762,67813,1999-01-19,2000-01-19
10762,68961,2000-01-19,2001-01-18
10768,66975,1986-07-04,1987-07-04
10768,69619,1987-07-04,1988-07-03
10774,67167,2001-01-23,2002-01-23
10774,69890,2002-01-23,9999-01-01
10776,67214,1990-03-15,1991-03-15
10776,68950,1991-03-15,1992-03-14
10776,68795,1992-03-14,1993-03-14
10778,68527,1987-07-04,1988-07-03
10778,69186,1988-07-03,1989-07-03
10779,67765,1996-01-09,1997-01-08
10779,67702,1997-01-08,1998-01-08
10779,68400,1998-01-08,1999-01-08
10779,69964,1999-01-08,2000-01-08
10787,69401,2002-07-16,2002-07-27
10788,67353,2002-05-28,9999-01-01
10790,66822,2002-03-01,9999-01-01
10791,66041,1999-07-28,2000-07-27
10791,68352,2000-07-27,2001-07-27
10791,68070,2001-07-27,2002-07-27
10792,66107,1986-08-10,1987-08-10
10792,68209,1987-08-10,1988-08-09
10797,66295,2000-08-18,2001-08-18
10797,69522,2001-08-18,9999-01-01
10799,66681,1999-02-27,2000-02-27
10799,68349,2000-02-27,2001-02-26
10799,68020,2001-02-26,2002-02-26
10799,68340,2002-02-26,9999-01-01
10801,67302,1998-04-07,1999-04-07
10801,67457,1999-04-07,2000-04-06
10801,69378,2000-04-06,2001-01-15
10802,69200,2000-08-20,2001-08-20
10802,68904,2001-08-20,9999-01-01
10803,67064,1994-04-19,1995-04-19
10805,66586,1995-05-24,1996-05-23
10805,67636,1996-05-23,1997-05-23
10806,66456,1995-04-25,1996-04-24
10806,66104,1996-04-24,1997-04-24
10806,69154,1997-04-24,1998-04-24
10809,69004,2002-02-21,9999-01-01
10813,66637,1995-04-26,1996-04-25
10813,69658,1996-04-25,1997-04-25
10814,67884,1995-07-17,1996-07-16
10816,66825,2001-05-19,2002-05-19
10816,68737,2002-05-19,9999-01-01
10817,67235,1996-12-24,1997-12-24
10817,69765,1997-12-24,1998-12-24
10819,66466,1992-07-31,1993-07-31
10819,68913,1993-07-31,1994-07-31
10820,67953,1994-06-26,1995-06-26
10822,69007,1997-01-08,1998-01-08
10825,66531,1994-12-04,1995-12-04
10825,69301,1995-12-04,1996-12-03
10825,69396,1996-12-03,1997-12-03
10826,69340,1998-01-21,1999-01-21
10830,67321,2000-08-21,2001-08-21
10832,69585,1986-10-11,1987-10-11
10836,69820,1988-08-09,1989-08-09
10838,69406,2000-04-24,2001-04-24
10838,69425,2001-04-24,2002-04-24
10842,66506,1994-07-12,1995-07-12
10842,66632,1995-07-12,1996-07-11
10843,66330,2002-04-23,9999-01-01
10847,67036,2002-07-21,9999-01-01
10848,66117,1994-04-18,1995-04-18
10848,66637,1995-04-18,1996-04-17
10849,66065,1995-06-25,1996-06-24
10849,66786,1996-06-24,1997-06-24
10850,66066,1991-04-22,1992-04-21
10850,67801,1993-04-21,1994-04-21
10851,66516,2001-11-19,9999-01-01
10852,68153,1999-08-21,2000-08-20
10852,69402,2000-08-20,2001-08-20
10853,68201,2001-05-01,2002-05-01
10853,69461,2002-05-01,9999-01-01
10857,66317,1993-04-02,1994-04-02
10857,69915,1994-04-02,1995-04-03
10857,69769,1995-04-03,1996-04-01
10857,69293,1996-04-01,1997-04-01
10857,69381,1997-04-01,1998-04-01
10857,69287,1998-04-01,1999-04-01
10859,67246,1997-05-21,1998-05-21
10859,67128,1998-05-21,1999-05-21
10859,69710,1999-05-21,2000-05-20
10863,66767,1993-12-23,1994-12-23
10863,67836,1994-12-23,1995-12-23
10864,66280,1987-09-25,1988-09-24
10864,67096,1988-09-24,1989-09-24
10866,66411,2001-12-24,9999-01-01
10868,66760,1993-03-19,1994-03-19
10868,67592,1994-03-19,1995-03-19
10870,68588,1992-01-12,1993-01-11
10873,67339,1996-03-22,1997-03-22
10874,68705,1991-04-21,1992-04-20
10874,68976,1992-04-20,1993-04-20
10874,68633,1993-04-20,1994-04-20
10874,68541,1994-04-20,1995-04-20
10874,68362,1995-04-20,1996-04-19
10875,67356,2000-05-16,2001-05-16
10875,69852,2001-05-16,2002-05-16
10876,67981,1998-01-28,1999-01-28
10876,68763,1999-01-28,1999-09-14
10877,66992,1995-06-04,1996-06-03
10877,67327,1996-06-03,1997-06-03
10879,69145,1986-08-15,1987-08-15
10879,69467,1987-08-15,1988-08-14
10879,69523,1988-08-14,1989-08-14
10887,69570,1989-03-17,1990-03-17
10889,67326,1989-08-10,1990-08-10
10890,67703,1990-03-10,1991-03-10
10890,69738,1991-03-10,1992-03-09
10894,67349,1998-12-04,1999-12-04
10894,69364,1999-12-04,2000-12-03
10895,67103,1986-04-26,1987-04-13
10898,66156,1998-01-07,1999-01-07
10898,69581,1999-01-07,2000-01-07
10898,69707,2000-01-07,2001-01-06
10899,67163,1996-04-02,1997-04-02
10899,69628,1997-04-02,1998-04-02
10903,69316,2001-02-11,2002-02-11
10904,66287,2000-04-14,2001-04-14
10904,68641,2001-04-14,2002-04-14
10906,66204,1998-10-18,1999-10-18
10906,66100,1999-10-18,2000-10-17
10906,69014,2000-10-17,2001-10-17
10912,66125,1996-04-20,1997-04-20
10912,69905,1997-04-20,1998-04-20
10913,66765,1999-10-25,2000-10-24
10913,68322,2000-10-24,2001-10-24
10923,66459,1996-04-06,1997-04-07
10923,68016,1997-04-07,1998-04-07
10926,66817,2000-04-27,2001-04-27
10926,68764,2001-04-27,2002-04-27
10927,67815,1997-09-09,1998-09-09
10927,68582,1998-09-09,1999-09-09
10927,69328,1999-09-09,2000-09-08
10929,68325,2002-04-12,9999-01-01
10931,68827,1994-06-14,1995-06-14
10935,69600,2000-10-15,2001-10-15
10937,69140,1998-06-14,1999-06-14
10937,69592,1999-06-14,2000-06-13
10938,68677,1985-09-24,1986-09-24
10943,66362,2002-05-20,9999-01-01
10946,67398,1999-10-26,2000-10-25
10946,68987,2000-10-25,2001-10-25
10949,68323,1999-06-27,2000-06-26
10951,66777,2001-07-03,2002-07-03
10953,68694,1990-02-11,1991-02-11
10957,69422,2000-09-28,2001-09-28
10958,68238,1995-11-26,1996-11-25
10960,66699,2000-07-05,2001-07-05
10960,67490,2001-07-05,2002-07-05
10965,69309,1989-07-28,1990-07-28
10972,69408,2002-06-02,9999-01-01
10973,66388,1996-03-03,1997-03-03
10978,68714,1993-05-16,1994-05-16
10979,66245,1992-01-26,1993-01-25
10979,68363,1993-01-25,1994-01-25
10979,68320,1994-01-25,1995-01-25
10979,69726,1995-01-25,1996-01-25
10980,67828,1994-01-03,1995-01-03
10982,69306,1997-11-09,1998-11-09
10983,68620,2002-02-18,9999-01-01
10986,67876,1998-10-08,1999-10-08
10986,67664,1999-10-08,2000-10-07
10988,68499,1992-06-17,1993-06-17
10988,68866,1993-06-17,1994-06-17
10989,66448,2000-07-16,2001-07-16
